epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
83,12618.2,1.12573,11.5552,0.91025,0.51391,0.31131,0.41479,0.28427,0.96651,9.44293,0.84333,0.00014588,0.00014588,0.00014588
84,12798.1,1.15018,11.7408,0.91246,0.65843,0.2884,0.44059,0.28574,1.00054,9.43822,0.84966,0.00014522,0.00014522,0.00014522
85,12987.1,1.1102,11.4809,0.90091,0.62097,0.28848,0.42875,0.28121,0.9972,9.52882,0.84605,0.00014456,0.00014456,0.00014456
86,13169,1.13508,11.7104,0.91735,0.69821,0.27382,0.43767,0.29975,0.93083,9.30883,0.84149,0.0001439,0.0001439,0.0001439
87,13352,1.14123,11.6321,0.91646,0.62961,0.29822,0.42859,0.28829,0.94003,9.37897,0.83962,0.00014324,0.00014324,0.00014324
88,13536.7,1.12581,11.679,0.90774,0.63497,0.28526,0.42517,0.28101,1.05324,9.52051,0.84687,0.00014258,0.00014258,0.00014258
89,13724.3,1.13228,11.659,0.91398,0.65308,0.28777,0.4277,0.28438,1.02165,9.49788,0.83799,0.00014192,0.00014192,0.00014192
90,13909.9,1.12881,11.4927,0.91582,0.68075,0.28904,0.44465,0.28034,0.99436,9.38041,0.84949,0.00014126,0.00014126,0.00014126
91,14094.5,1.12017,11.3714,0.9069,0.65698,0.29887,0.44294,0.29956,0.99044,9.31573,0.84135,0.0001406,0.0001406,0.0001406
92,14277.6,1.15054,11.3891,0.92265,0.58352,0.30705,0.43477,0.3087,0.93318,9.38451,0.837,0.00013994,0.00013994,0.00013994
93,14427.7,1.12191,11.2853,0.91697,0.64222,0.3135,0.45272,0.29381,0.93744,9.23991,0.84366,0.00013928,0.00013928,0.00013928
94,14560.4,1.14717,11.4381,0.91383,0.68803,0.29281,0.44683,0.30549,1.04016,9.25203,0.84207,0.00013862,0.00013862,0.00013862
95,14689.5,1.13731,11.4524,0.90271,0.66485,0.31071,0.44679,0.30627,0.89163,9.29032,0.83287,0.00013796,0.00013796,0.00013796
96,14819.1,1.10851,11.4759,0.90126,0.71948,0.28864,0.45146,0.2888,0.98985,9.28371,0.84016,0.0001373,0.0001373,0.0001373
97,14948.6,1.10587,11.3353,0.90618,0.72434,0.30125,0.47162,0.31564,0.97752,9.24171,0.84008,0.00013664,0.00013664,0.00013664
98,15080.7,1.10967,11.2237,0.90746,0.71932,0.29992,0.45112,0.30423,0.9566,9.13953,0.84255,0.00013598,0.00013598,0.00013598
99,15208.9,1.11224,11.4937,0.91773,0.71646,0.29333,0.45499,0.29834,1.02609,9.39865,0.85132,0.00013532,0.00013532,0.00013532
100,15341.3,1.11877,11.4363,0.91218,0.71433,0.28954,0.45524,0.30692,0.96044,9.34035,0.8378,0.00013466,0.00013466,0.00013466
101,15472,1.11339,11.2306,0.90753,0.64245,0.29944,0.4546,0.3107,0.96414,9.33635,0.84307,0.000134,0.000134,0.000134
102,15601.3,1.08647,11.3078,0.90921,0.71852,0.29522,0.44698,0.30741,0.90419,9.44128,0.83239,0.00013334,0.00013334,0.00013334
103,15734.7,1.11388,11.3698,0.91808,0.70104,0.30432,0.45976,0.30633,0.92866,9.36364,0.83426,0.00013268,0.00013268,0.00013268
104,15865.7,1.10242,11.1682,0.90684,0.78615,0.29531,0.4636,0.31295,0.91661,9.16506,0.83365,0.00013202,0.00013202,0.00013202
105,15991.3,1.06788,11.0168,0.90143,0.69663,0.30227,0.45876,0.28916,1.02033,9.22871,0.85351,0.00013136,0.00013136,0.00013136
106,16119.1,1.10271,11.1538,0.91748,0.68003,0.30853,0.45118,0.30578,0.88681,9.19001,0.83279,0.0001307,0.0001307,0.0001307
107,16248.1,1.11443,11.2979,0.9089,0.67937,0.3147,0.4449,0.30301,0.86326,9.26672,0.83076,0.00013004,0.00013004,0.00013004
108,16376.3,1.07883,11.1303,0.90823,0.70929,0.29064,0.45064,0.30065,0.97505,9.27332,0.84256,0.00012938,0.00012938,0.00012938
109,16506,1.10154,11.0211,0.91657,0.70075,0.30992,0.46016,0.30339,1.01235,9.22065,0.84288,0.00012872,0.00012872,0.00012872
110,16634.8,1.08763,11.1547,0.90417,0.75726,0.29738,0.46533,0.31463,0.90428,9.11601,0.83189,0.00012806,0.00012806,0.00012806
111,16767,1.10488,11.0978,0.91151,0.73911,0.30458,0.46013,0.30165,0.92535,9.18559,0.83073,0.0001274,0.0001274,0.0001274
112,16897.7,1.0912,11.0602,0.90636,0.74808,0.30337,0.46171,0.31489,0.93999,9.14698,0.83046,0.00012674,0.00012674,0.00012674
113,17027.7,1.07291,11.0306,0.89867,0.73031,0.31971,0.45808,0.29852,1.01755,9.08787,0.84002,0.00012608,0.00012608,0.00012608
